s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,mean,std,count,ci_lower,ci_upper,finite_count,nonfinite_count
1.2,0.5,baseline,blocked,,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.5,baseline,capacity_reduction,0.25,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.5,baseline,capacity_reduction,0.5,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.5,baseline,capacity_reduction,0.75,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.5,matched_redundancy,blocked,,-29.594011325133003,2.2165388706450977,30,-30.387189573305374,-28.800833076960632,30,0
1.2,0.5,matched_redundancy,capacity_reduction,0.25,-29.673683681004782,1.7801554054395694,30,-30.310704111668468,-29.036663250341096,30,0
1.2,0.5,matched_redundancy,capacity_reduction,0.5,-29.979575844588783,0.1047150238493962,30,-30.017047634627826,-29.94210405454974,30,0
1.2,0.5,matched_redundancy,capacity_reduction,0.75,-29.995940445932785,0.015082410842498449,30,-30.001337617337583,-29.990543274527987,30,0
1.2,1.0,baseline,blocked,,-96079.97304249146,365534.0587932137,30,-226884.65607363379,34724.709988650866,30,0
1.2,1.0,baseline,capacity_reduction,0.25,-34.020542758786114,21.230852883330982,30,-41.617905891111775,-26.42317962646045,30,0
1.2,1.0,baseline,capacity_reduction,0.5,-30.17645408296745,0.932228770767714,30,-30.510047864283912,-29.842860301650987,30,0
1.2,1.0,baseline,capacity_reduction,0.75,-30.000291906878957,0.0286413467047751,30,-30.010541081168412,-29.9900427325895,30,0
1.2,1.0,matched_redundancy,blocked,,-29.76067799179967,2.426092266281407,30,-30.628843959542692,-28.89251202405665,30,0
1.2,1.0,matched_redundancy,capacity_reduction,0.25,-29.84035034767145,2.028388316073341,30,-30.56619978458573,-29.11450091075717,30,0
1.2,1.0,matched_redundancy,capacity_reduction,0.5,-30.146242511255448,0.9224375713719771,30,-30.47633255686618,-29.816152465644716,30,0
1.2,1.0,matched_redundancy,capacity_reduction,0.75,-29.995940445932785,0.015082410842498449,30,-30.001337617337583,-29.990543274527987,30,0
1.2,1.5,baseline,blocked,,-144105.4710283868,439618.9016688267,30,-301421.0746061659,13210.132549392321,30,0
1.2,1.5,baseline,capacity_reduction,0.25,-34.534139477890115,21.316399544952578,30,-42.16211508992486,-26.90616386585537,30,0
1.2,1.5,baseline,capacity_reduction,0.5,-30.20666565467945,0.9409152264487863,30,-30.543367844240493,-29.86996346511841,30,0
1.2,1.5,baseline,capacity_reduction,0.75,-30.00464336782513,0.037067479869251026,30,-30.01790779514298,-29.99137894050728,30,0
1.2,1.5,matched_redundancy,blocked,,-29.522661878786554,2.732812367194466,30,-30.500586225028336,-28.544737532544772,30,0
1.2,1.5,matched_redundancy,capacity_reduction,0.25,-29.682006590530115,2.1942349185635663,30,-30.467203471953795,-28.896809709106435,30,0
1.2,1.5,matched_redundancy,capacity_reduction,0.5,-30.293790917698114,1.2078760531972528,30,-30.726023812222326,-29.861558023173902,30,0
1.2,1.5,matched_redundancy,capacity_reduction,0.75,-29.993186787052785,0.020958769493712982,30,-30.000686786394567,-29.985686787711003,30,0
1.2,2.0,baseline,blocked,,-96079.99470942508,526095.9934517209,30,-284341.0281534689,92181.03873461875,30,0
1.2,2.0,baseline,capacity_reduction,0.25,-34.534139477890115,21.316399544952578,30,-42.16211508992486,-26.90616386585537,30,0
1.2,2.0,baseline,capacity_reduction,0.5,-30.20666565467945,0.9409152264487863,30,-30.543367844240493,-29.86996346511841,30,0
1.2,2.0,baseline,capacity_reduction,0.75,-30.00464336782513,0.037067479869251026,30,-30.01790779514298,-29.99137894050728,30,0
1.2,2.0,matched_redundancy,blocked,,-28.905721254715974,5.233873647814334,30,-30.77863888594195,-27.032803623489997,30,0
1.2,2.0,matched_redundancy,capacity_reduction,0.25,-29.682006590530115,2.1942349185635663,30,-30.467203471953795,-28.896809709106435,30,0
1.2,2.0,matched_redundancy,capacity_reduction,0.5,-30.293790917698114,1.2078760531972528,30,-30.726023812222326,-29.861558023173902,30,0
1.2,2.0,matched_redundancy,capacity_reduction,0.75,-29.993186787052785,0.020958769493712982,30,-30.000686786394567,-29.985686787711003,30,0
1.2,3.0,baseline,blocked,,-96078.97308602133,526096.1864321831,30,-284340.0755872367,92182.129415194,30,0
1.2,3.0,baseline,capacity_reduction,0.25,-38.149616894899815,31.329227440098755,30,-49.36063695262573,-26.938596837173897,30,0
1.2,3.0,baseline,capacity_reduction,0.5,-30.361586062264493,1.404534760086278,30,-30.864192371252077,-29.85897975327691,30,0
1.2,3.0,baseline,capacity_reduction,0.75,-30.00295151980926,0.03847977660875094,30,-30.016721331024755,-29.98918170859376,30,0
1.2,3.0,matched_redundancy,blocked,,-28.668712194093256,5.723141366514292,30,-30.71671202989739,-26.620712358289122,30,0
1.2,3.0,matched_redundancy,capacity_reduction,0.25,-29.649993905199544,2.6272874209485004,30,-30.59015663439488,-28.709831176004208,30,0
1.2,3.0,matched_redundancy,capacity_reduction,0.5,-30.31225623032849,1.2165304283536371,30,-30.747586053228954,-29.876926407428027,30,0
1.2,3.0,matched_redundancy,capacity_reduction,0.75,-29.995846399983087,0.03374512490602819,30,-30.007921937846103,-29.98377086212007,30,0
1.5,0.0,baseline,blocked,,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.0,baseline,capacity_reduction,0.25,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.0,baseline,capacity_reduction,0.5,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.0,baseline,capacity_reduction,0.75,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.0,matched_redundancy,blocked,,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.0,matched_redundancy,capacity_reduction,0.25,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
